,연도,월,일,시간,시군구명,읍면동명,온도,습도,시간단위풍속,현장소방서거리,화재진압시간,전체인력수합계,damagearea
436,2017.0,3.0,19.0,18,춘천시,석사동,8.0,44.0,315.0,7.0,2549.0,114.0,0.05
438,2017.0,3.0,22.0,16,인제군,인제읍,13.0,17.0,180.0,3.0,2637.0,94.0,0.01
439,2017.0,3.0,22.0,17,화천군,사내면,11.0,30.0,270.0,43.0,13828.0,136.0,0.15
440,2017.0,3.0,23.0,13,횡성군,갑천면,14.0,30.0,135.0,20.0,10620.0,158.0,0.5
442,2017.0,3.0,30.0,15,홍천군,화촌면,18.0,20.0,225.0,11.0,10158.0,99.0,0.4
444,2017.0,3.0,30.0,15,춘천시,서면,18.0,23.0,225.0,20.0,2023.0,172.0,0.01
447,2017.0,4.0,4.0,19,철원군,갈말읍,12.0,18.0,180.0,4.0,11437.0,74.0,0.1
448,2017.0,4.0,8.0,13,영월군,무릉도원면,24.0,33.0,315.0,48.0,5516.0,176.0,0.3
449,2017.0,4.0,10.0,11,원주시,소초면,21.0,15.0,225.0,13.0,11024.0,111.0,0.2
454,2017.0,4.0,13.0,11,춘천시,서면,14.0,23.0,180.0,17.0,11900.0,101.0,0.35
455,2017.0,4.0,13.0,15,고성군,거진읍,15.0,42.0,135.0,11.0,1801.0,62.0,0.02
456,2017.0,4.0,20.0,11,고성군,죽왕면,15.0,51.0,270.0,10.0,2430.0,62.0,0.01
458,2017.0,4.0,23.0,13,영월군,중동면,21.0,22.0,270.0,22.0,10114.0,81.0,0.2
460,2017.0,4.0,23.0,15,속초시,설악동,0.0,0.0,,8.0,2600.0,46.0,0.01
461,2017.0,4.0,24.0,13,강릉시,연곡면,21.0,37.0,90.0,13.0,4441.0,239.0,0.3
462,2017.0,4.0,28.0,14,홍천군,내면,17.0,32.0,225.0,77.0,13548.0,103.0,0.1
464,2017.0,4.0,29.0,12,춘천시,서면,24.0,25.0,135.0,13.0,4443.0,42.0,0.02
468,2017.0,4.0,29.0,18,춘천시,칠전동,19.0,45.0,0.0,10.0,122505.0,138.0,0.5
469,2017.0,5.0,1.0,12,인제군,남면,24.0,14.0,90.0,8.0,22316.0,98.0,0.5
471,2017.0,5.0,1.0,14,고성군,간성읍,19.0,65.0,135.0,10.0,5137.0,89.0,0.05
472,2017.0,5.0,2.0,12,원주시,부론면,26.0,36.0,270.0,33.0,3804.0,100.0,0.1
474,2017.0,5.0,2.0,13,원주시,문막읍,26.0,29.0,315.0,31.0,4806.0,89.0,0.05
475,2017.0,5.0,2.0,14,홍천군,내촌면,27.0,20.0,0.0,34.0,12930.0,182.0,0.3
477,2017.0,5.0,2.0,15,고성군,거진읍,17.0,70.0,135.0,13.0,1919.0,164.0,0.05
478,2017.0,5.0,3.0,11,홍천군,북방면,26.0,24.0,45.0,8.0,5721.0,101.0,0.3
479,2017.0,5.0,3.0,14,영월군,상동읍,26.0,29.0,225.0,40.0,34858.0,150.0,0.5
480,2017.0,5.0,3.0,17,홍천군,북방면,29.0,11.0,0.0,6.0,2535.0,85.0,0.05
482,2017.0,5.0,3.0,17,영월군,영월읍,28.0,17.0,270.0,8.0,10453.0,42.0,0.01
483,2017.0,5.0,3.0,20,영월군,상동읍,17.0,37.0,90.0,52.0,20300.0,234.0,0.1
485,2017.0,5.0,5.0,14,정선군,남면,20.0,55.0,135.0,13.0,13249.0,125.0,0.1
486,2017.0,5.0,5.0,15,강릉시,왕산면,26.0,31.0,180.0,28.0,1554.0,138.0,0.05
487,2017.0,5.0,5.0,18,홍천군,동면,0.0,0.0,,10.0,1636.0,65.0,0.01
488,2017.0,5.0,6.0,11,삼척시,도계읍,21.0,24.0,225.0,38.0,232500.0,1140.0,270.0
489,2017.0,5.0,6.0,11,삼척시,도계읍,21.0,24.0,225.0,38.0,232500.0,1140.0,765.0
490,2017.0,5.0,6.0,13,고성군,간성읍,23.0,14.0,270.0,1.0,3043.0,40.0,0.02
492,2017.0,5.0,6.0,14,홍천군,내촌면,21.0,16.0,225.0,29.0,10337.0,78.0,0.01
494,2017.0,5.0,6.0,15,강릉시,성산면,22.0,12.0,225.0,14.0,133403.0,2840.0,57.0
496,2017.0,5.0,7.0,19,춘천시,북산면,21.0,22.0,225.0,30.0,13452.0,178.0,0.01
497,2017.0,5.0,7.0,19,춘천시,북산면,21.0,22.0,225.0,30.0,13452.0,178.0,0.1
498,2017.0,5.0,7.0,19,춘천시,북산면,20.0,23.0,225.0,63.0,12346.0,93.0,0.01
499,2017.0,5.0,7.0,19,춘천시,북산면,20.0,23.0,225.0,63.0,12346.0,93.0,0.1
504,2017.0,5.0,9.0,14,원주시,흥업면,16.0,30.0,,7.0,4722.0,107.0,0.03
505,2017.0,5.0,19.0,13,강릉시,왕산면,25.0,35.0,225.0,31.0,316.0,123.0,0.06
506,2017.0,5.0,20.0,11,양구군,동면,28.0,33.0,225.0,57.0,12945.0,78.0,0.1
507,2017.0,5.0,20.0,12,정선군,임계면,28.0,30.0,225.0,29.0,5511.0,123.0,0.04
508,2017.0,5.0,20.0,15,화천군,사내면,29.0,28.0,225.0,45.0,4945.0,17.0,0.06
509,2017.0,5.0,21.0,12,인제군,상남면,25.0,30.0,135.0,37.0,10522.0,95.0,0.1
511,2017.0,5.0,25.0,10,춘천시,서면,29.0,38.0,225.0,22.0,15728.0,73.0,0.05
512,2017.0,5.0,26.0,11,춘천시,서면,20.0,32.0,225.0,17.0,3827.0,89.0,0.01
513,2017.0,5.0,27.0,11,평창군,용평면,18.0,50.0,45.0,50.0,10057.0,61.0,0.01
515,2017.0,6.0,2.0,14,강릉시,옥계면,19.0,57.0,90.0,30.0,4306.0,146.0,0.06
518,2017.0,6.0,4.0,10,인제군,인제읍,22.0,27.0,180.0,10.0,25310.0,88.0,0.3
519,2017.0,6.0,4.0,11,화천군,사내면,24.0,30.0,0.0,40.0,22124.0,54.0,0.1
520,2017.0,6.0,4.0,12,철원군,근남면,24.0,19.0,315.0,17.0,14326.0,70.0,0.01
522,2017.0,6.0,19.0,12,강릉시,왕산면,29.0,35.0,225.0,46.0,1020.0,73.0,0.01
523,2017.0,6.0,19.0,21,홍천군,서석면,20.0,72.0,45.0,36.0,15802.0,108.0,0.05
526,2017.0,6.0,21.0,14,철원군,갈말읍,29.0,33.0,225.0,3.0,13658.0,68.0,0.01
527,2017.0,6.0,22.0,16,양양군,서면,27.0,53.0,0.0,12.0,4614.0,119.0,0.02
528,2017.0,6.0,23.0,14,횡성군,갑천면,32.0,34.0,270.0,25.0,11917.0,57.0,0.01
532,2017.0,11.0,16.0,13,평창군,평창읍,5.0,18.0,90.0,17.0,3727.0,91.0,0.09
533,2017.0,11.0,16.0,15,홍천군,내촌면,6.0,32.0,225.0,35.0,10533.0,113.0,0.5
534,2017.0,11.0,19.0,13,정선군,여량면,1.0,15.0,225.0,25.0,3814.0,63.0,0.05
536,2017.0,11.0,20.0,11,영월군,남면,4.0,26.0,315.0,19.0,3507.0,130.0,0.3
539,2017.0,12.0,2.0,21,원주시,부론면,2.0,56.0,315.0,25.0,10539.0,95.0,0.2
541,2017.0,12.0,22.0,16,양양군,서면,7.0,54.0,315.0,7.0,11648.0,315.0,0.3
546,2016.0,1.0,6.0,15,고성군,거진읍,20.0,22.0,270.0,10.0,3919.0,73.0,0.06
547,2016.0,1.0,12.0,14,양구군,남면,0.0,26.0,180.0,43.0,3824.0,84.0,0.05
548,2016.0,1.0,13.0,11,원주시,호저면,-3.0,0.0,180.0,17.0,2151.0,46.0,0.03
550,2016.0,1.0,19.0,18,강릉시,구정면,-7.0,25.0,315.0,9.0,31900.0,490.0,3.0
553,2016.0,1.0,22.0,16,춘천시,신동면,-3.0,29.0,135.0,11.0,1511.0,37.0,0.01
555,2016.0,1.0,25.0,17,춘천시,남면,-5.0,25.0,225.0,30.0,10931.0,182.0,0.3
559,2016.0,1.0,26.0,16,양양군,강현면,0.0,0.0,,17.0,3340.0,67.0,0.03
560,2016.0,1.0,27.0,16,원주시,귀래면,0.0,0.0,,18.0,4700.0,84.0,0.15
562,2016.0,1.0,29.0,11,홍천군,북방면,3.0,38.0,225.0,9.0,1834.0,59.0,0.03
564,2016.0,1.0,31.0,13,영월군,수주면,0.0,0.0,,60.0,5239.0,63.0,0.05
566,2016.0,2.0,1.0,14,원주시,신림면,0.0,0.0,,29.0,1626.0,40.0,0.01
567,2016.0,2.0,1.0,17,홍천군,내촌면,0.0,0.0,,28.0,14429.0,143.0,0.3
569,2016.0,2.0,4.0,11,원주시,문막읍,2.0,30.0,225.0,26.0,4702.0,75.0,0.05
570,2016.0,2.0,4.0,13,춘천시,동면,5.0,29.0,225.0,3.0,10411.0,103.0,1.0
572,2016.0,2.0,5.0,15,횡성군,우천면,3.0,26.0,180.0,31.0,13907.0,185.0,0.8
